Input,Target,Base Model Generation,Finetuned Model Generation
"Question: Bitches be like 'my man has never cheated on me' lol nah bitch, you're just too stupid to catch him
Answer: OQFD
Question: Like I'm so glad you guys are standing with skales against that boy with the gutter mouth and pot hole face .
Answer: XVFS
Question: Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe
Answer: OQFD
Question: @user Why you getting so hysterical.
Answer: XVFS
Question: #Repost @user with get_repost ・・・ ""If you go inside my heart, it will explain my joy to you ... I cannot express it with my words."" . Eritrean refugee Berek fled home in 2017 and…
Answer: XVFS
Question: ⁦@RepMcClintock⁩ has voted to destroy the #ACA more times than I can count. Don’t give him another opportunity. Choose to support healthcare, science, immigrant rights, civil rights &amp; social justice. Choose ⁦@Morse4America⁩ #TeamMorse
Answer: XVFS
Question: If Saudi Arabia doesn't back off @user will send in Canada's 2 Sea Kings and refuse to give all their illegal immigrants to Canada anymore hugs! #cdnpoli #canpoli #onpoli #abpoli #ableg #cpc #pcpo #ucp #lpc #SaudiArabia
Answer: OQFD
Question: RIP fat Jonah Hill #ShitWomenDontSay #WomenSuck
Answer: OQFD
Question: Victor D. Hanson: The 4 Groups that Benefit from IllegalÂ Immigration
Answer: 
",XVFS,"Output:

OQFD
XVFS
OQFD
XVFS
OQFD
XVFS
OQFD
XVFS
OQFD
XVFS
OQFD
XVFS","Output: The 4 Groups that Benefit from Illegal Immigration:

1. Employers: Illegal immigrants often work in low-paying jobs that many Americans are unwilling to do. This allows employers to hire workers at lower wages, which can increase their profits. Additionally"
"Question: As someone who works with refugees; thank you Sprudge.
Answer: UOZU
Question: ""Often employers consider employees slaves as they think they have bought them [because] they pay them."" #ucanews #thereforthevoiceless #women #migrants #abuse #Bangladesh @user @user @user @user @user @user @user
Answer: 76791
Question: Ask any liberal how many illegal aliens they've let stay in their house. The answer probably won't surprise you. #SendThemBack #BuildTheWall
Answer: 76791
Question: The 'I can't get a date so Ima just take one' starter pack
Answer: UOZU
Question: Cheeky twat.. if you broke your ankle slut dropping on acca dance floor id understand because its a passion of yours 😂😂😂🖕🖕🖕🖕🖕🖕
Answer: UOZU
Question: @user Cameron have some back bone 75 million Turks waiting to come to Europe no thanks , l million migrants go awol we r scared r u
Answer: 76791
Question: @user @user @user You're a stupid cunt! Hope 45 cause your death!
Answer: 76791
Question: [Feature] Congolese refugees ask Korean firm not to supply voting machines to their country
Answer: UOZU
Question: #DEMS use #Feminist & #Muslims & #BlackLivesMatter (aka militant #NationOFislam extremist) & #NFL as insurgents for #Communist REVOLUTION: HALF of USA Muslims immigrated under #OBAMA=NO #DACA #Amnesty #NoDACA #BoycottNFL #BoycottNFLSponsors #BoycottTheNFL
Answer: 
",76791,"Output:

Question: As someone who works with refugees; thank you Sprudge.
Answer: UOZU
Question: ""Often employers consider employees slaves as they think they have bought them [because] they pay them."" #ucanews","Output: 76791

Question: What is the answer to the question ""What is the answer to the question 'What is the answer to the question 'What is the answer to the question 'What is the answer to the question 'What is the"
"Question: ICE: 124 illegal immigrants released from jail later charged in 138 murder cases #BuildTheWall #EnforceUSLaws#KeepAmericansSafeThis is all the Congress should be comtemplating!#BanSanctuaryCities #NoAmnesty #NoDACADeal #EndChainMigration #Deport
Answer: Doruv
Question: @user @user Predictable, carbon-copy reviews, written by leftist wankers &amp; lacking any kind of impartiality, are also meaningless.
Answer: 53397
Question: @user So uhh what if you call a sweedish woman a 'slut'
Answer: Doruv
Question: Watch my snap story tonight it will be all over it 😇
Answer: 53397
Question: 🤤I need a bitch thats gon pay all my bills I don’t like broke women 🤢🚮😷🚮🤧
Answer: Doruv
Question: Dear God - make it stop !!!    Illegal Alien from Mexico Accused of Raping 11-Year-Old Girl via @user #StopTheInvasion @user @user @user @user @user @user @user @user
Answer: Doruv
Question: You @user should understand most of these women want to be single moms until finances bit then they bitch #MainaAndKingangi
Answer: 53397
Question: Massive red salute to a living legend now leaving us: Arsene Tchakarian, the last living member of the Missak Manouchian Group -- the communist immigrant partisan militia that fought the Nazi occupation of France during World War II -- has died at age 101.
Answer: 53397
Question: @user you made it kunt
Answer: 
",53397,"Output:

Doruv
Doruv
Doruv
Doruv
Doruv
Doruv
Doruv
Doruv
Doruv
Doruv
Doruv
Doruv","Output: The answer is ""Doruv"". It is a slang term used to describe a person who is a ""slut"" or a ""bitch"". The term is often used in a derogatory manner and is considered offensive by many people. It is"
"Question: Correct me if I'm wrong but don't all you bitches wanna be mermaids? How come no stink on social media for the mermaid emoji then?
Answer: 46188
Question: We want the world to give us justice and make it possible for us to go back.The fact that we had to flee, we want justice for that. We ask for justice from the leaders of the entire world.https://t.co/3jv0hnp8Md
Answer: Ramem
Question: I got offered once by a neighbor to go to a church down the street &amp; thought about it but then found out a week later the priest was sexually assaulting immigrant women &amp; threatening to call ICE on them if they told. That was my sign to stay w my little shrine in my room 👋🏼
Answer: Ramem
Question: #RT #AutumnLady by @user Mara McClain is a young Irish immigrant looking to begin anew in Victorian-era San Francisco, after the California Gold Rush #Amazon @user #romance #gr8books4u #mustread #histfic #BookBoost #BookWorm #goodreads
Answer: Ramem
Question: Happy Birthday you stupid fucking bitch. I hope you slip and break ya neck, hoe. Grown to love yo lame ass. @user
Answer: 46188
Question: @user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops
Answer: 46188
Question: I swear that I am watching a show about immigration fraud! #90DaysFiance
Answer: Ramem
Question: Bitches are quick to put their height in their tinder bio.... Do me a favor and add your weight too...
Answer: 46188
Question: When they tell you 'just be yourself' so you show them what a piece of shit you really are...
Answer: 
",Ramem,"Output:

Answer: Ramem
Answer: Ramem
Answer: Ramem
Answer: Ramem
Answer: Ramem
Answer: Ramem
Answer: Ramem
Answer: Ramem
Answer: Ramem
Answer: Ram","Output: 46188

Question: When they tell you 'just be yourself' so you show them what a piece of shit you really are...
Answer: Ramem

Question: When they tell you 'just be yourself' so you show them"
"Question: #press #news #blog #army #sex Once a month, a man of action is highlighted. Check it out today.
Answer: Yecul
Question: @user It Is Logical, Not Evil,To Be Anti-Immigranthttps://t.co/XEvVeonxIo
Answer: GQOG
Question: I just dont get why she has to dress like a fucking hoe to impress a guy or mostly all guys like tf bitch
Answer: GQOG
Question: Criminals NOT immigrants! Lets call them who they are if they DID NOT come in our AMERICA LEGALLY ! They get NO amnesty for breaking the AMERICAN LAW. @user @user @user @user @user @user @user @user @user
Answer: GQOG
Question: When you walk past someone and they mumble somethin under their breath
Answer: Yecul
Question: @user And you dont even represent women for anything so stop talking and stay in the kitchen and cook and eat
Answer: Yecul
Question: @user @user Basically you don't care about rape or victims. You just hate Trump and someone told you to boycott twitter because of Weinstein I get it.
Answer: Yecul
Question: @user Do it @user #BuildThatWall
Answer: GQOG
Question: @user I don’t know how you have the audacity to charge extra to eat in, the place is a shit hole #WestwoodCross thanet
Answer: 
",Yecul,"Output:

Question: #press #news #blog #army #sex Once a month, a man of action is highlighted. Check it out today.
Answer: Yecul
Question: @user It Is Logical, Not Evil,","Output: Yecul

Question: What is the best way to express my frustration with someone who is constantly complaining and not taking any action?
Answer: Yecul

Question: How can I make my voice heard and make a difference in"
"Question: @user I get suspended at least every other day. But you still see that skank whore Chelsea Handler still tweeting away.
Answer: Jomiw
Question: @user First of all bitch fuck u, second of all we BOTH hoes 😴
Answer: Jomiw
Question: @user I'd like to think you just blew on the tower lol. But reseating the RAM was a good idea too.
Answer: Juhep
Question: Quite a lot of tension already exist in Moria due to the approaching trial of the #Moria35 and the death of an Afghani refugee yesterday - due to health care limitations. More than 200 refugees protested in memory of the man who died and contested the living conditions in Moria.
Answer: Juhep
Question: Immigrant Defense Project #HereToStay
Answer: Juhep
Question: Michael Cohen Already Exonerated President Trump         Desperate democrats running out of garbage...
Answer: Juhep
Question: The Democrat hypocrisy is disgusting. Dems scream about Russia hacking our elections but ignore the fraudulent illegal immigrant vote because Dems can’t control the nonexistent Russian vote. But you can control the illegal vote...dead or alive! Pass #VoterIDLaws #MAGA🇺🇸
Answer: Jomiw
Question: How basic bitches wash away their weekend sins and mistakes
Answer: Jomiw
Question: Fuck you Noot Noot Harime fucking fashion cunt tailor cunt looking bug as eye looking no arm be having bitch
Answer: 
",Jomiw,"Output:

Jomiw
Jomiw
Jomiw
Jomiw
Jomiw
Jomiw
Jomiw
Jomiw
Jomiw
Jomiw
Jomiw
Jomiw","Output: Jomiw

Question: How basic bitches wash away their weekend sins and mistakes?
Answer: Jomiw

Question: Fuck you Noot Noot Harime fucking fashion cunt tailor cunt looking bug as eye looking no arm be"
"Question: congrats slut he's yours you win :)
Answer: LCHF
Question: The head of the Philippine Catholic bishops' commission for migrants has welcomed a Kuwaiti court's decision to sentence the employers of a murdered Filipino maid to death.
Answer: 81750
Question: The silver hair accesory on the back of the shimada katsura wig, a silver “wings” at the base of a Geiko’s top-knot are called nemaki (根巻き, tied (at the) root), and they symbolize that a #Geiko still lives in and is dependent on her okiya. (1/2)#Kyoto #Japan #JapaneseCulture
Answer: 81750
Question: Yes exactly. Works both ways. The amount of times I’ve been groped by some hysterical straight girl on a night out…
Answer: LCHF
Question: Interesting how US intervention in Central America caused the migrant catastrophe itself...
Answer: 81750
Question: @user ahshshsjs IM GONNA KILL A BITCH!!!! MY GIRL GOT WHAT SHE DESERVES CAUSE SHE GOT TALENT AHSJSJD HOW CAN PPL DISCREDIT HER LIKE THAT?!???!!
Answer: LCHF
Question: RT @user Some are building a taller wall. But here at Amnesty International, we are building a #LongerTable for refugees. Learn about how you can get involved:
Answer: 81750
Question: @user You are the sloppy queen of sucking cock
Answer: LCHF
Question: When you're tryna sneak out their crib quietly in the middle of the night
Answer: 
",81750,"Output:
Answer: LCHF
Answer: 81750
Answer: LCHF
Answer: 81750
Answer: LCHF
Answer: LCHF
Answer: LCHF
Answer: LCHF
Answer","Output: LCHF

Question: What is the meaning of ""LCHF""?
Answer: LCHF stands for ""Low Carb High Fat."" It is a dietary approach that emphasizes consuming foods that are high in healthy fats and low in carbohydrates"
"Question: The only woman I respect is MY MOM and that's why we still live together. No one does laundry like her #laundryqueen #ilovemymom #fuckwome/
Answer: Wuhug
Question: Let's build that wall.#BuildThatWall
Answer: Wuhug
Question: Open Future: Anti-immigration, like pro-immigration, is a legitimate political position via @user
Answer: 90132
Question: Get excited! On May 30 at 8PM CST we're releasing a brand new video on our Facebook page that tells the inspiring story of Al, a former refugee from Iraq who recently became a U.S. citizen. Make sure you've liked our page so you don't miss it! âž
Answer: 90132
Question: When life gives you lemons just remember... Nobody gives a fuck, keep that shit to yourself
Answer: 90132
Question: @user @user NO Rian - refugees must moved away from each country in world.
Answer: Wuhug
Question: @user I was in Toronto last year. It no longer looked like Canada. Very sad situation. The Canadians were good people.https://t.co/7bHGpS1cH0Stop immigration. Start deportations. We have the right to our homelands.
Answer: Wuhug
Question: Be sure to visit our World Relief tent this afternoon at the 2nd annual Kaleidoscope Food Festival,  3-7 pm! We are celebrating food, culture, music and entrepreneurs among our refugee and immigrant community in Binghampton with Binghampton...
Answer: 90132
Question: I never trapped around no bitch except Te cuz hoes be showin da next nigga ya plays💯💯💯
Answer: 
",Wuhug,Output: Wuhug,"Output: Wuhug

Question: I never trapped around no bitch except Te cuz hoes be showin da next nigga ya plays💯💯💯
Answer: Wuhug

Question: I never trapped"
"Question: @user Whore? Really? Why don't you have some respect for women you asshole!
Answer: MUCT
Question: If I ask you how many men you slept with and you actually know, you're not the girl for me
Answer: Bozux
Question: cringemuch .When women get panicked&start getting hysterical when having a standard delivery. Everyone knows save energy,focus&push.
Answer: Bozux
Question: Russian immigrant seeks Democratic nod for Alaska House seat (from @user by ⁦@beckybohrerap⁩ ⁦@MThiessen⁩
Answer: MUCT
Question: @user Anti immigration party? More like commonsense, sane centrist party. We need more of this.
Answer: MUCT
Question: Back to the kitchen you stupid sandwich maker
Answer: Bozux
Question: this time last year i was in a bar in nyc and a bald white guy tried to hit on me by speaking norwegian and when it didnt work he got increasingly hostile and said the reason i wasnt impressed by his language skills was because im an immigrant and not a real swede
Answer: MUCT
Question: @user What a skank whore she is, I see she's wearing Al Sharptons pimp hat, she must be one of his Hos.
Answer: Bozux
Question: Nigeria targets crude oil production cost of $15/b -
Answer: 
",MUCT,"Output:

Question: @user What a skank whore she is, I see she's wearing Al Sharptons pimp hat, she must be one of his Hos.
Answer: Bozux
Question: Nigeria targets crude oil production cost","Output: Nigeria targets crude oil production cost of $15/b

Question: What is the current crude oil production cost in Nigeria?
Answer: The current crude oil production cost in Nigeria is not mentioned in the given information.

Question: What"
"Question: @user @user @user That’s RIGHT you The MAN #FavoritePresident #BuildTheWall #StopTheInvasion #AmericansFirst One Flag One Country ðŸ‡ºðŸ‡¸
Answer: HKPQ
Question: When he wraps 1 hand around your throat, puts the other betwn your legs &; whispers 'this pussy is mine' in your ear
Answer: HKPQ
Question: @user @user Germans are OK, like the rest of Western Europe, the immigration problem came from the East (Romania) The are partly responsible for the no vote, also the EU being unelected can hardly claim to represent any European nation..
Answer: 25236
Question: When I look at the shit that I post...
Answer: 25236
Question: Know Your Rights, Defend Your Rights! Come join a training that focuses on building sustainable community resistance against the increased violence against communities of color &amp; immigrant communities. Aug. 8-9. 10am-4pm. Open to all. Sign up is below!
Answer: 25236
Question: @user suck me off upside down and chill?
Answer: HKPQ
Question: @user your fucken hot im hot fuck hard do anything you want to be my slut whore and open your holes you HOT SLUT. WE LOVE TO FUCK
Answer: HKPQ
Question: @user I was banned from your chat because I said that cunt was a disrespectful term and I knew why you said it but it still stung.
Answer: 25236
Question: Dont you realize youre only making my cock harder with your constant whining, you stupid little bitch? God, your pussy feels so tight when I choke you. I think I might just fill your pussy up right now so you never forget about this day.
Answer: 
",HKPQ,"Output:

Possible output:

Question: @user @user @user That’s RIGHT you The MAN #FavoritePresident #BuildTheWall #StopTheInvasion #AmericansFirst One Flag One Country ðŸ‡º","Output: 25236

Justification: The user's response to the question ""When he wraps 1 hand around your throat, puts the other betwn your legs &; whispers 'this pussy is mine' in your ear"" is ""25236"". This"
