Input,Target,Base Model Generation,Finetuned Model Generation
"Question: Label the following tweet based on whether it contains a offensive content.
@user @user The purrfect portrait! She even has her tail wrapped around her paws! She is beautiful in this shot!
Answer: Giquw
Question: Label the following tweet based on whether it contains a offensive content.
@user And how much is he being paid for this behavior?
Answer: Giquw
Question: Label the following tweet based on whether it contains a offensive content.
@user how long will it take for one of the biggest arsehole's to appear this millennium @user get humiliated and exposed for the corrupt fake lying toad that he is?
Answer: Zujib
Question: Label the following tweet based on whether it contains a offensive content.
... ... ... She is responding to her children... Zero... We have no time... You must find a way to stop Elpizo."""" (X, MMZ2)""""
Answer: Giquw
Question: Label the following tweet based on whether it contains a offensive content.
@user @user Civilians Also   I'll admit its hard sometimes  when helping Grok 24-7 lol   I've been called names I didn't even know existed  Example   Antifa Grannies  Brokeback Valor (WTH is that) Grok Girl Friend (Yep No Shit)   Things Frauds will say   Thank You Grok (Brother) 😆😆😆
Answer: Giquw
Question: Label the following tweet based on whether it contains a offensive content.
@user ugh I meant *wigs shit
Answer: Zujib
Question: Label the following tweet based on whether it contains a offensive content.
@user Clown
Answer: Zujib
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user So tell me all about why you are simply rudeand racist. Was it your mother…?
Answer: Zujib
Question: Label the following tweet based on whether it contains a offensive content.
@user Maybe there wouldn't be 5 of these things a day of there was a little sensible gun control in this fucking country.
Answer: 
",Zujib,"Output:

Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user So tell me all about why you are simply rudeand racist. Was it your mother…?
Answer:","Output: Zujib

Question: Label the following tweet based on whether it contains a offensive content.
@user I'm sorry, I didn't mean to offend you. I was just trying to make a point.
Answer: Giquw"
"Question: Label the following tweet based on whether it contains a offensive content.
@user @user Or lower some Liberals retirement fund idea's
Answer: 58960
Question: Label the following tweet based on whether it contains a offensive content.
@user He had to fuck up. You can only give a guy so many chances no matter how talented he is
Answer: 58960
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user Be there with Bells on 👍✌️❤️
Answer: 58960
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user @user @user @user @user You said that if my speech offends someone then I should be fined/jailed.  I asked if you should be fined if you wanting gun control offended me
Answer: 47230
Question: Label the following tweet based on whether it contains a offensive content.
@user Dear Paul McFartney-  You had us at Beatles.  You lost us at President Mad Captain.  Burn in hell-  Jon.""""
Answer: 47230
Question: Label the following tweet based on whether it contains a offensive content.
@user @user he is always the victim..same song and dance..
Answer: 58960
Question: Label the following tweet based on whether it contains a offensive content.
The “Law and Order” president really hates law enforcement! Lol #MAGA
Answer: 47230
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user Holy shit that's awesome
Answer: 47230
Question: Label the following tweet based on whether it contains a offensive content.
@user It's all liberals have.  It's all they ever had.  They see everything through the prism of race.
Answer: 
",58960,"Output:

Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: 58960

Justification: The tweet contains offensive content as it is making derogatory remarks about liberals and their perspective on issues. The use of the phrase ""all liberals have"" and ""it's all they ever had"" implies that liberals are"
"Question: Label the following tweet based on whether it contains a offensive content.
@user America is better than swamp crud like YOU!
Answer: 53641
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user @user If you put any claim that that ambulance chaser is in anyway anything by a shyster you are a fool bigger than he is
Answer: 53641
Question: Label the following tweet based on whether it contains a offensive content.
@user @user She has received death threats and has teenage daughters. She is protecting her family
Answer: 53641
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user You should tell the @user They've just posted a tweet about how much better the railways are since they privatised them...
Answer: FLUF
Question: Label the following tweet based on whether it contains a offensive content.
@user It was Billy Clinton's Welfare Reform"""" that caused this. To be clear Billy Clinton is Republican Lite, like Hillary is. The Clinton's campaign on Progressivism, but govern as conservatives.""""
Answer: FLUF
Question: Label the following tweet based on whether it contains a offensive content.
@user @user #MAGA Make Alcatraz Great Again
Answer: FLUF
Question: Label the following tweet based on whether it contains a offensive content.
@user Dumb kid
Answer: 53641
Question: Label the following tweet based on whether it contains a offensive content.
@user Did you hear that @user had a game taken away from her because she called an official a theif after he took a point and he only took a game away from her because she is a woman and he'd never have done that to a man? Would love to hear your thoughts on this
Answer: FLUF
Question: Label the following tweet based on whether it contains a offensive content.
@user Have you reported that the killer of Mollie Tibet’s will receive reward money?   Did you report this?
Answer: 
",FLUF,"Output:

Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: FLUF

Question: Label the following tweet based on whether it contains a offensive content.
@user I am a woman and I am not a man. I am a woman.
Answer: 53641

Question: Label the following"
"Question: Label the following tweet based on whether it contains a offensive content.
@user @user And so is the duster thank god
Answer: WEIP
Question: Label the following tweet based on whether it contains a offensive content.
@user This message was approved by #antifa #pussyhats #BLM
Answer: WEIP
Question: Label the following tweet based on whether it contains a offensive content.
@user Fuck you dope.  Not a Fox watcher.  Independent voter that will never vote left.  Your Party is dangerous.
Answer: DBUP
Question: Label the following tweet based on whether it contains a offensive content.
@user Likely shift? He is a political operative for the GOP. This will be a life-long dream for many who have been working towards this outcome for decades. It’s sad.
Answer: DBUP
Question: Label the following tweet based on whether it contains a offensive content.
@user you fuckass
Answer: DBUP
Question: Label the following tweet based on whether it contains a offensive content.
@user And Bill Maher should try getting back into comedy.
Answer: WEIP
Question: Label the following tweet based on whether it contains a offensive content.
@user Another Liar That Broke His Oath
Answer: WEIP
Question: Label the following tweet based on whether it contains a offensive content.
@user Shitttt. I do &amp; does.
Answer: DBUP
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user Yes he is and the democrats hate it
Answer: 
",DBUP,"Output: 

Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user Yes he is and the democrats hate it
Answer: 

Output: 

Question: Label the following","Output: DBUP

Explanation: The tweet contains offensive content as it uses the word ""shit"" and implies that the person being referred to is a liar and has broken their oath. The other tweets do not contain offensive content. The labels """
"Question: Label the following tweet based on whether it contains a offensive content.
@user @user But Google can give Beijing every Americans phone number. You’re kidding me right?   MAGA 2020
Answer: 70551
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user Trump call them very find people so lets talk about groups like Antifa and black life matter people that has form to fight hate groups y’all would like to apply some type of moral equivalency to hate groups and them just like ICE was form to stop illegal immigrants we luv them
Answer: LKFP
Question: Label the following tweet based on whether it contains a offensive content.
@user It seems that @user holds the whip hand when it comes to governing the @user and Brexit.
Answer: 70551
Question: Label the following tweet based on whether it contains a offensive content.
@user BO is bitterly PO’d that Donald Trumps presidency has made him look like the bad president that he was.
Answer: 70551
Question: Label the following tweet based on whether it contains a offensive content.
@user @user She is better than all this shit. She is better than anything. ❤️
Answer: LKFP
Question: Label the following tweet based on whether it contains a offensive content.
@user You are beginning to sound just like a stuck record Brian. Why don't you go and find something less boring to do instead.
Answer: LKFP
Question: Label the following tweet based on whether it contains a offensive content.
@user Dear Paul McFartney-  You had us at Beatles.  You lost us at President Mad Captain.  Burn in hell-  Jon.""""
Answer: LKFP
Question: Label the following tweet based on whether it contains a offensive content.
@user @user So pretty yet so naive. Great actress though. Everything she said was not of american values and was against freedom of the american people. Gun control doesnt work. Just look at Chicago.
Answer: 70551
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user You prove how little you know about history, with each new post, wep. Wars are the failure of diplomacy, enabled by an arms industry feeding off taxpayers. Gun control"""" is the last thing on their mind. You've been lied to, by pros in the pay of gun manufacturers.""""
Answer: 
",70551,"Output:

Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: 70551

Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user You are beginning to sound just like a stuck record Brian. Why don't you go and find something less boring to"
"Question: Label the following tweet based on whether it contains a offensive content.
@user I was actually thinking you were joining antifa.
Answer: BAWC
Question: Label the following tweet based on whether it contains a offensive content.
#Toad The one on top. NObama is best described as such..... 🇺🇸#MAGA #Trump2020🇺🇸
Answer: BAWC
Question: Label the following tweet based on whether it contains a offensive content.
@user IM SAVING THIS GOOD SHITTTT
Answer: 62277
Question: Label the following tweet based on whether it contains a offensive content.
@user Better than what? Truth? Politicians have never been good at that. My America is better than Flake.
Answer: 62277
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user That's a black referring to a group. Markedly different from affluent white people calling Ben Carson or any other prominent conservative that term. I'm thinking more of stuff like this:    Antifa n word"""" is quite a fruitful search.""""
Answer: 62277
Question: Label the following tweet based on whether it contains a offensive content.
@user primary argument against #Kavanaugh is that he is too Constitutional""""  The democrats started a civil war during Clinton  They heightened their propaganda during Obama  They are scared animals backed into a corner  Antifa, BLM &amp; MS13 are their Sturmabteilung""""
Answer: 62277
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user I've noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter.
Answer: BAWC
Question: Label the following tweet based on whether it contains a offensive content.
@user Ironic (or worse) that anti- 2nd Amendment legislators want an activist judiciary to verify gun control but same law makers are anti #COS
Answer: BAWC
Question: Label the following tweet based on whether it contains a offensive content.
@user Bitchhh 😭😭😭😭 she was suppose to order some oatmeal
Answer: 
",BAWC,"Output:
Question: Label the following tweet based on whether it contains a offensive content.
@user I was actually thinking you were joining antifa.
Answer: BAWC
Question: Label the following tweet based on whether it contains a offensive content","Output: BAWC

Question: Label the following tweet based on whether it contains a offensive content.
@user I was actually thinking you were joining antifa.
Answer: BAWC

Question: Label the following tweet based on whether"
"Question: Label the following tweet based on whether it contains a offensive content.
@user That one sucks bc he is so hit or miss
Answer: 19403
Question: Label the following tweet based on whether it contains a offensive content.
@user Shame on them willing to ruin good man over a 36-year-old groping accusation she can't prove.  They're rabid liberals who don't want a Supreme Court justice who will follow the Constitution.  It's all about politics.  Shame.
Answer: 19403
Question: Label the following tweet based on whether it contains a offensive content.
@user If he did wouldn’t this be the sort of thing Liberals love? Don’t they hate all law enforcement?
Answer: FTTD
Question: Label the following tweet based on whether it contains a offensive content.
@user It’s Good for our Gun Business. More Guns sell when these people bring up Gun Control. Keep up the Great Work. Guns for All.
Answer: 19403
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user traitor whoever he or she is.
Answer: 19403
Question: Label the following tweet based on whether it contains a offensive content.
@user All liberals should cross the floor and leave Trudeau all alone to implode! Guy is leading  our country into financial disaster!
Answer: FTTD
Question: Label the following tweet based on whether it contains a offensive content.
@user @user Much of your promise of money is not extra/new as govt took back £817 MILLION promised for new affordable"""" homes! Stop Right to Buy - we have a @user created #HousingCrisis now, too little, too late!
Answer: FTTD
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user You can make fun of liberals that come up with fake stories.
Answer: FTTD
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user Name them. Who are these conservatives"""" who are driving this dump truck of yours, and when they were passionate about deficits. Name them. Who are they?""""
Answer: 
",FTTD,"Output: 
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user You can make fun of liberals that come up with fake stories.
Answer: FTTD
Question: Label the","Output: FTTD

Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user Name them. Who are these conservatives"""" who are driving this dump truck of yours, and when they were passionate about"
"Question: Label the following tweet based on whether it contains a offensive content.
@user @user Landon sucks I asked him for my birthday if I could play with him but he never got back to me so Landon you suck
Answer: IUSC
Question: Label the following tweet based on whether it contains a offensive content.
@user He’s not even one of the strongest conservatives that could have been nominated and it has still come to this.
Answer: 71787
Question: Label the following tweet based on whether it contains a offensive content.
@user He is quite good at faking. Must have done it numerous times
Answer: IUSC
Question: Label the following tweet based on whether it contains a offensive content.
@user @user It's too had liberals are exempt from laws.
Answer: 71787
Question: Label the following tweet based on whether it contains a offensive content.
@user @user Action talks and BULLSHIT walks
Answer: IUSC
Question: Label the following tweet based on whether it contains a offensive content.
.@USER Just another Republican hater!  It amazes me that liberals don’t like Republican’s money 💰 Colin You’re fired! 😂😂#BoycottColinJost #EmmyAwards
Answer: 71787
Question: Label the following tweet based on whether it contains a offensive content.
@user You are beginning to sound just like a stuck record Brian. Why don't you go and find something less boring to do instead.
Answer: IUSC
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user Agreed and what I’m saying too.
Answer: 71787
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user I am sure he is doing that in his organization.   Also respect is a two way street. Law enforcement  job is to protect  and SERVE its citizens.  It like they miss that part .
Answer: 
",IUSC,"Output:

Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: IUSC

Justification: The tweet contains offensive content as it is making derogatory remarks about a person's political affiliation and implying that they are not doing their job properly. The use of the word ""stuck record"" and the sarcastic tone"
"Question: Label the following tweet based on whether it contains a offensive content.
@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president.
Answer: Fidiw
Question: Label the following tweet based on whether it contains a offensive content.
@user @user Clearly you are not a weather person.  Worst conditions are due for tomorrow.
Answer: 67113
Question: Label the following tweet based on whether it contains a offensive content.
@user And this coming from the sick puppy liberals at the Beast.
Answer: Fidiw
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user @user @user @user @user Super President like Multiversity? Good ideia
Answer: 67113
Question: Label the following tweet based on whether it contains a offensive content.
@user She is drinking so much koolaid she’s bloated.
Answer: Fidiw
Question: Label the following tweet based on whether it contains a offensive content.
@user Ok guys I think her claims are b.s. too but if you start threatening her you're no better than Antifa
Answer: 67113
Question: Label the following tweet based on whether it contains a offensive content.
@user Robyn I was gonna make vegan scones but I ran out of fucking time.  Blame my biochem lab
Answer: Fidiw
Question: Label the following tweet based on whether it contains a offensive content.
@user As soon as Kavanaugh is seated you can say goodbye to federal gun control. Never in your life will you see it again.
Answer: 67113
Question: Label the following tweet based on whether it contains a offensive content.
@user I’m very excited to buy more lol. The lady at the con all her manga was $6 and she told me some other cons she’s gonna be at so I wanna go to this one in Chicago next year 😂
Answer: 
",67113,"Output:

Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: Fidiw

Justification: The tweet contains offensive content as it is making fun of a person's appearance and mocking their choices. The use of the word ""lol"" and the sarcastic tone of the tweet indicate that it is meant to be"
"Question: Label the following tweet based on whether it contains a offensive content.
@user @user They gone eat his high yellow ass 🤣
Answer: 28340
Question: Label the following tweet based on whether it contains a offensive content.
@user President Obama?  Did I miss something about this?  He still believes he is President or is it you that isn't able to accept reality?
Answer: Bador
Question: Label the following tweet based on whether it contains a offensive content.
@user love .. she is fabulous 🐈💜💜💜💜💜💜💜💜💜💜💜💖
Answer: Bador
Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user Tell this idiot to try with other religion book. Her height will b reduced 6 inch from top before amrinder reaches her to arrest. She is sick. She needs treatment. And she is alive becoz she hindu. Don't blabber non sense
Answer: 28340
Question: Label the following tweet based on whether it contains a offensive content.
@user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism
Answer: 28340
Question: Label the following tweet based on whether it contains a offensive content.
@user Hell ya
Answer: Bador
Question: Label the following tweet based on whether it contains a offensive content.
&amp; could prove we're in opposite roles? THE DUALITY OF EVERYTHING. very scary. BUT i can't feed that thought rn).  need to think abt how grateful i am that she's saying these things bc it's finally getting to me that i can't keep caring abt her &amp; that she is not who i think she is
Answer: Bador
Question: Label the following tweet based on whether it contains a offensive content.
@user @user I believe that Melania Trump is an abused woman maybe not physically but definitely mentally by an abuser husband and she is afraid to speak out against her abuser.
Answer: 28340
Question: Label the following tweet based on whether it contains a offensive content.
@user how long will it take for one of the biggest arsehole's to appear this millennium @user get humiliated and exposed for the corrupt fake lying toad that he is?
Answer: 
",28340,"Output:

Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: Bador

Question: Label the following tweet based on whether it contains a offensive content.
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user"
