Input,Target,Base Model Generation,Finetuned Model Generation
"Input: ... ... ... She is responding to her children... Zero... We have no time... You must find a way to stop Elpizo."""" (X, MMZ2)""""
Symbol: Offensive
Input: @user ugh I meant *wigs shit
Symbol: Not Offensive
Input: @user @user @user @user @user So tell me all about why you are simply rudeand racist. Was it your mother…?
Symbol: Not Offensive
Input: @user And how much is he being paid for this behavior?
Symbol: Offensive
Input: @user Clown
Symbol: Not Offensive
Input: @user how long will it take for one of the biggest arsehole's to appear this millennium @user get humiliated and exposed for the corrupt fake lying toad that he is?
Symbol: Not Offensive
Input: @user @user The purrfect portrait! She even has her tail wrapped around her paws! She is beautiful in this shot!
Symbol: Offensive
Input: @user @user Civilians Also   I'll admit its hard sometimes  when helping Grok 24-7 lol   I've been called names I didn't even know existed  Example   Antifa Grannies  Brokeback Valor (WTH is that) Grok Girl Friend (Yep No Shit)   Things Frauds will say   Thank You Grok (Brother) 😆😆😆
Symbol: Offensive
Input: @user Maybe there wouldn't be 5 of these things a day of there was a little sensible gun control in this fucking country.
Symbol: 
",Not Offensive,"Output:

Symbol: Offensive
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @","Output: The symbol for the first input is Offensive, as it contains offensive language. The second input is Not Offensive, as it does not contain offensive language. The third input is Offensive, as it contains offensive language. The fourth input is Not Offensive, as"
"Input: @user @user he is always the victim..same song and dance..
Symbol: Offensive
Input: @user @user @user Be there with Bells on 👍✌️❤️
Symbol: Offensive
Input: The “Law and Order” president really hates law enforcement! Lol #MAGA
Symbol: Not Offensive
Input: @user @user Or lower some Liberals retirement fund idea's
Symbol: Offensive
Input: @user @user @user @user @user Holy shit that's awesome
Symbol: Not Offensive
Input: @user He had to fuck up. You can only give a guy so many chances no matter how talented he is
Symbol: Offensive
Input: @user Dear Paul McFartney-  You had us at Beatles.  You lost us at President Mad Captain.  Burn in hell-  Jon.""""
Symbol: Not Offensive
Input: @user @user @user @user @user @user @user @user @user You said that if my speech offends someone then I should be fined/jailed.  I asked if you should be fined if you wanting gun control offended me
Symbol: Not Offensive
Input: @user It's all liberals have.  It's all they ever had.  They see everything through the prism of race.
Symbol: 
",Offensive,"Output:
Symbol: Offensive

Input:
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: The symbol for the offensive input is ""Offensive"". The offensive input is: ""@user @user he is always the victim..same song and dance..""

The symbol for the not offensive input is ""Not Offensive"". The not offensive input"
"Input: @user America is better than swamp crud like YOU!
Symbol: Not Offensive
Input: @user @user @user @user You should tell the @user They've just posted a tweet about how much better the railways are since they privatised them...
Symbol: Offensive
Input: @user Dumb kid
Symbol: Not Offensive
Input: @user It was Billy Clinton's Welfare Reform"""" that caused this. To be clear Billy Clinton is Republican Lite, like Hillary is. The Clinton's campaign on Progressivism, but govern as conservatives.""""
Symbol: Offensive
Input: @user Did you hear that @user had a game taken away from her because she called an official a theif after he took a point and he only took a game away from her because she is a woman and he'd never have done that to a man? Would love to hear your thoughts on this
Symbol: Offensive
Input: @user @user She has received death threats and has teenage daughters. She is protecting her family
Symbol: Not Offensive
Input: @user @user @user @user @user @user If you put any claim that that ambulance chaser is in anyway anything by a shyster you are a fool bigger than he is
Symbol: Not Offensive
Input: @user @user #MAGA Make Alcatraz Great Again
Symbol: Offensive
Input: @user Have you reported that the killer of Mollie Tibet’s will receive reward money?   Did you report this?
Symbol: 
",Offensive,"Output:

Symbol: Not Offensive
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user",Output: The first two symbols are not offensive. The third symbol is offensive. The fourth symbol is not offensive. The fifth symbol is offensive. The sixth symbol is not offensive. The seventh symbol is offensive. The eighth symbol is not offensive. The ninth symbol
"Input: @user Another Liar That Broke His Oath
Symbol: Offensive
Input: @user Shitttt. I do &amp; does.
Symbol: Not Offensive
Input: @user Fuck you dope.  Not a Fox watcher.  Independent voter that will never vote left.  Your Party is dangerous.
Symbol: Not Offensive
Input: @user you fuckass
Symbol: Not Offensive
Input: @user @user And so is the duster thank god
Symbol: Offensive
Input: @user Likely shift? He is a political operative for the GOP. This will be a life-long dream for many who have been working towards this outcome for decades. It’s sad.
Symbol: Not Offensive
Input: @user And Bill Maher should try getting back into comedy.
Symbol: Offensive
Input: @user This message was approved by #antifa #pussyhats #BLM
Symbol: Offensive
Input: @user @user @user Yes he is and the democrats hate it
Symbol: 
",Not Offensive,"Output:
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @","Output: The symbols for the given messages are as follows:

1. @user Another Liar That Broke His Oath: Offensive
2. @user Shitttt. I do &amp; does.: Not Offensive
3. @user Fuck"
"Input: @user @user @user Trump call them very find people so lets talk about groups like Antifa and black life matter people that has form to fight hate groups y’all would like to apply some type of moral equivalency to hate groups and them just like ICE was form to stop illegal immigrants we luv them
Symbol: Not Offensive
Input: @user @user So pretty yet so naive. Great actress though. Everything she said was not of american values and was against freedom of the american people. Gun control doesnt work. Just look at Chicago.
Symbol: Offensive
Input: @user BO is bitterly PO’d that Donald Trumps presidency has made him look like the bad president that he was.
Symbol: Offensive
Input: @user @user But Google can give Beijing every Americans phone number. You’re kidding me right?   MAGA 2020
Symbol: Offensive
Input: @user Dear Paul McFartney-  You had us at Beatles.  You lost us at President Mad Captain.  Burn in hell-  Jon.""""
Symbol: Not Offensive
Input: @user It seems that @user holds the whip hand when it comes to governing the @user and Brexit.
Symbol: Offensive
Input: @user You are beginning to sound just like a stuck record Brian. Why don't you go and find something less boring to do instead.
Symbol: Not Offensive
Input: @user @user She is better than all this shit. She is better than anything. ❤️
Symbol: Not Offensive
Input: @user @user @user You prove how little you know about history, with each new post, wep. Wars are the failure of diplomacy, enabled by an arms industry feeding off taxpayers. Gun control"""" is the last thing on their mind. You've been lied to, by pros in the pay of gun manufacturers.""""
Symbol: 
",Offensive,"Output:

Symbol: Not Offensive
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: The symbol for the first input is ""Not Offensive"" because it is a positive and supportive message. The symbol for the second input is ""Offensive"" because it contains offensive language and insults. The symbol for the third input is ""Not Offensive"""
"Input: @user Better than what? Truth? Politicians have never been good at that. My America is better than Flake.
Symbol: Not Offensive
Input: @user @user @user @user I've noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter.
Symbol: Offensive
Input: @user primary argument against #Kavanaugh is that he is too Constitutional""""  The democrats started a civil war during Clinton  They heightened their propaganda during Obama  They are scared animals backed into a corner  Antifa, BLM &amp; MS13 are their Sturmabteilung""""
Symbol: Not Offensive
Input: @user Ironic (or worse) that anti- 2nd Amendment legislators want an activist judiciary to verify gun control but same law makers are anti #COS
Symbol: Offensive
Input: #Toad The one on top. NObama is best described as such..... 🇺🇸#MAGA #Trump2020🇺🇸
Symbol: Offensive
Input: @user @user @user That's a black referring to a group. Markedly different from affluent white people calling Ben Carson or any other prominent conservative that term. I'm thinking more of stuff like this:    Antifa n word"""" is quite a fruitful search.""""
Symbol: Not Offensive
Input: @user IM SAVING THIS GOOD SHITTTT
Symbol: Not Offensive
Input: @user I was actually thinking you were joining antifa.
Symbol: Offensive
Input: @user Bitchhh 😭😭😭😭 she was suppose to order some oatmeal
Symbol: 
",Offensive,"Output:

Symbol: Not Offensive
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: The symbol ""Not Offensive"" indicates that the statement is not intended to be offensive or disrespectful. It suggests that the user is expressing their opinion or making a point without causing harm or offense to others.

The symbol ""Offensive"" indicates that"
"Input: @user Shame on them willing to ruin good man over a 36-year-old groping accusation she can't prove.  They're rabid liberals who don't want a Supreme Court justice who will follow the Constitution.  It's all about politics.  Shame.
Symbol: Not Offensive
Input: @user It’s Good for our Gun Business. More Guns sell when these people bring up Gun Control. Keep up the Great Work. Guns for All.
Symbol: Not Offensive
Input: @user All liberals should cross the floor and leave Trudeau all alone to implode! Guy is leading  our country into financial disaster!
Symbol: Offensive
Input: @user @user Much of your promise of money is not extra/new as govt took back £817 MILLION promised for new affordable"""" homes! Stop Right to Buy - we have a @user created #HousingCrisis now, too little, too late!
Symbol: Offensive
Input: @user @user @user @user You can make fun of liberals that come up with fake stories.
Symbol: Offensive
Input: @user If he did wouldn’t this be the sort of thing Liberals love? Don’t they hate all law enforcement?
Symbol: Offensive
Input: @user That one sucks bc he is so hit or miss
Symbol: Not Offensive
Input: @user @user @user traitor whoever he or she is.
Symbol: Not Offensive
Input: @user @user @user Name them. Who are these conservatives"""" who are driving this dump truck of yours, and when they were passionate about deficits. Name them. Who are they?""""
Symbol: 
",Offensive,"Output:
Symbol: Not Offensive
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @","Output: The symbol for the first input is ""Not Offensive"" and it is a response to someone who is shaming a man for a 36-year-old groping accusation that the person cannot prove. The second input is ""Not Offensive"" and it is"
"Input: @user He is quite good at faking. Must have done it numerous times
Symbol: Not Offensive
Input: @user @user Action talks and BULLSHIT walks
Symbol: Not Offensive
Input: @user @user @user @user @user Agreed and what I’m saying too.
Symbol: Offensive
Input: @user He’s not even one of the strongest conservatives that could have been nominated and it has still come to this.
Symbol: Offensive
Input: @user @user Landon sucks I asked him for my birthday if I could play with him but he never got back to me so Landon you suck
Symbol: Not Offensive
Input: .@USER Just another Republican hater!  It amazes me that liberals don’t like Republican’s money 💰 Colin You’re fired! 😂😂#BoycottColinJost #EmmyAwards
Symbol: Offensive
Input: @user You are beginning to sound just like a stuck record Brian. Why don't you go and find something less boring to do instead.
Symbol: Not Offensive
Input: @user @user It's too had liberals are exempt from laws.
Symbol: Offensive
Input: @user @user @user I am sure he is doing that in his organization.   Also respect is a two way street. Law enforcement  job is to protect  and SERVE its citizens.  It like they miss that part .
Symbol: 
",Not Offensive,"Output:

@user He is quite good at faking. Must have done it numerous times
Symbol: Not Offensive

@user @user Action talks and BULLSHIT walks
Symbol: Not Offensive

@user @user","Output: The symbol for the first input is ""Not Offensive"" and it indicates that the statement is not offensive or inappropriate. The second input has a symbol that is not specified, but it is likely that it is also not offensive. The third input has a"
"Input: @user @user Clearly you are not a weather person.  Worst conditions are due for tomorrow.
Symbol: Offensive
Input: @user As soon as Kavanaugh is seated you can say goodbye to federal gun control. Never in your life will you see it again.
Symbol: Offensive
Input: @user @user @user @user @user @user @user @user @user Super President like Multiversity? Good ideia
Symbol: Offensive
Input: @user And this coming from the sick puppy liberals at the Beast.
Symbol: Not Offensive
Input: @user Robyn I was gonna make vegan scones but I ran out of fucking time.  Blame my biochem lab
Symbol: Not Offensive
Input: @user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president.
Symbol: Not Offensive
Input: @user She is drinking so much koolaid she’s bloated.
Symbol: Not Offensive
Input: @user Ok guys I think her claims are b.s. too but if you start threatening her you're no better than Antifa
Symbol: Offensive
Input: @user I’m very excited to buy more lol. The lady at the con all her manga was $6 and she told me some other cons she’s gonna be at so I wanna go to this one in Chicago next year 😂
Symbol: 
",Offensive,"Output:
@user @user Clearly you are not a weather person.    Worst conditions are due for tomorrow.
Symbol: Offensive
@user As soon as Kavanaugh is seated you can say goodbye to federal gun control. Never in your life will","Output: The symbol for the first input is Offensive, as it contains a derogatory remark about the user's lack of knowledge in weather forecasting. The second input also contains an Offensive symbol, as it makes a derogatory remark about the user's political beliefs. The third"
"Input: @user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism
Symbol: Not Offensive
Input: @user @user They gone eat his high yellow ass 🤣
Symbol: Not Offensive
Input: @user @user I believe that Melania Trump is an abused woman maybe not physically but definitely mentally by an abuser husband and she is afraid to speak out against her abuser.
Symbol: Not Offensive
Input: &amp; could prove we're in opposite roles? THE DUALITY OF EVERYTHING. very scary. BUT i can't feed that thought rn).  need to think abt how grateful i am that she's saying these things bc it's finally getting to me that i can't keep caring abt her &amp; that she is not who i think she is
Symbol: Offensive
Input: @user love .. she is fabulous 🐈💜💜💜💜💜💜💜💜💜💜💜💖
Symbol: Offensive
Input: @user @user @user Tell this idiot to try with other religion book. Her height will b reduced 6 inch from top before amrinder reaches her to arrest. She is sick. She needs treatment. And she is alive becoz she hindu. Don't blabber non sense
Symbol: Not Offensive
Input: @user President Obama?  Did I miss something about this?  He still believes he is President or is it you that isn't able to accept reality?
Symbol: Offensive
Input: @user Hell ya
Symbol: Offensive
Input: @user how long will it take for one of the biggest arsehole's to appear this millennium @user get humiliated and exposed for the corrupt fake lying toad that he is?
Symbol: 
",Not Offensive,"Output:

@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: It's difficult to determine the exact timeline, as it depends on various factors such as the individual's actions and the response from the public. However, it's important to remember that exposing and holding accountable those who engage in corrupt and dishonest behavior is crucial"
